tab	measurements
measurement	experiment	specimen	dir_dec	dir_inc	treat_ac_field	treat_step_num	treat_temp	magn_volume	citations	method_codes	quality	sequence	standard	meas_temp	analysts	description	software_packages	magn_moment
SML0201:LP-DIR-T0	SML0201:LP-DIR-T	SML0201	117.83572886394585	28.792406789695598	0	0	2.930e+02	27.614126819437907	This study	LT-NO:LP-DIR-T	g	0	u	2.730e+02	Anita		pmagpy-3.22.1	0.00033136952183325486
SML0201:LP-DIR-T1	SML0201:LP-DIR-T	SML0201	121.04549082686316	28.766373675564218	0	1	3.730e+02	27.42918154083348	This study	LT-T-Z:LP-DIR-T	g	1	u	2.730e+02	Anita		pmagpy-3.22.1	0.00032915017849000175
SML0201:LP-DIR-T2	SML0201:LP-DIR-T	SML0201	118.71391449264434	29.00926371812474	0	2	4.730e+02	25.775798726712623	This study	LT-T-Z:LP-DIR-T	g	2	u	2.730e+02	Anita		pmagpy-3.22.1	0.00030930958472055145
SML0201:LP-DIR-T3	SML0201:LP-DIR-T	SML0201	120.66611879635002	28.363685988371216	0	3	5.730e+02	25.51221276173433	This study	LT-T-Z:LP-DIR-T	g	3	u	2.730e+02	Anita		pmagpy-3.22.1	0.00030614655314081194
SML0201:LP-DIR-T4	SML0201:LP-DIR-T	SML0201	120.59862905197373	27.323414904314554	0	4	6.730e+02	22.112679620525416	This study	LT-T-Z:LP-DIR-T	g	4	u	2.730e+02	Anita		pmagpy-3.22.1	0.000265352155446305
SML0201:LP-DIR-T5	SML0201:LP-DIR-T	SML0201	119.99823673796101	26.60367232459572	0	5	7.730e+02	12.8624142368375	This study	LT-T-Z:LP-DIR-T	g	5	u	2.730e+02	Anita		pmagpy-3.22.1	0.00015434897084205002
SML0201:LP-DIR-T6	SML0201:LP-DIR-T	SML0201	129.20919603201756	29.666725311707697	0	6	8.730e+02	0.20244300432467405	This study	LT-T-Z:LP-DIR-T	g	6	u	2.730e+02	Anita		pmagpy-3.22.1	2.4293160518960885e-06
SML0202:LP-DIR-T0	SML0202:LP-DIR-T	SML0202	116.56505117707799	47.79976903464284	0	0	2.930e+02	34.287169611970015	This study	LT-NO:LP-DIR-T	g	7	u	2.730e+02	Anita		pmagpy-3.22.1	0.00041144603534364017
SML0202:LP-DIR-T1	SML0202:LP-DIR-T	SML0202	119.6194391776947	47.92311902681529	0	1	3.730e+02	33.81626827430844	This study	LT-T-Z:LP-DIR-T	g	8	u	2.730e+02	Anita		pmagpy-3.22.1	0.0004057952192917013
SML0202:LP-DIR-T2	SML0202:LP-DIR-T	SML0202	119.93833845545382	47.07704775490702	0	2	4.730e+02	32.36510466536452	This study	LT-T-Z:LP-DIR-T	g	9	u	2.730e+02	Anita		pmagpy-3.22.1	0.00038838125598437425
SML0202:LP-DIR-T3	SML0202:LP-DIR-T	SML0202	119.00169942388813	47.550896990437884	0	3	5.730e+02	31.17049887313323	This study	LT-T-Z:LP-DIR-T	g	10	u	2.730e+02	Anita		pmagpy-3.22.1	0.00037404598647759876
