t,XYDATA
0,54
0.5,55
1,82
1.5,75
2,89
2.5,81
3,99
3.5,104
4,123
4.5,92
5,100
5.5,63
6,80
6.5,96
7,107
7.5,95
8,56
8.5,82
9,78
9.5,54
10,94
10.5,77
11,76
11.5,72
12,123
12.5,75
13,107
13.5,85
14,85
14.5,106
15,91
15.5,82
16,60
16.5,107
17,73
17.5,120
18,102
18.5,60
19,91
19.5,81
20,54
20.5,94
21,109
21.5,54
22,109
22.5,62
23,123
23.5,109
24,91
24.5,120
25,108
25.5,82
26,75
26.5,88
27,65
27.5,91
28,74
28.5,123
29,118
29.5,56
30,115
30.5,108
31,62
31.5,85
32,109
32.5,83
33,70
33.5,77
34,56
34.5,111
35,74
35.5,84
36,82
36.5,110
37,75
37.5,111
38,86
38.5,57
39,117
39.5,93
40,117
40.5,65
41,105
41.5,63
42,115
42.5,96
43,89
43.5,92
44,119
44.5,84
45,63
45.5,102
46,83
46.5,100
47,88
47.5,70
48,79
48.5,101
49,92
49.5,53
50,101
50.5,95
51,97
51.5,53
52,102
52.5,110
53,71
53.5,101
54,54
54.5,122
55,57
55.5,110
56,99
56.5,99
57,57
57.5,98
58,76
58.5,118
59,83
59.5,63
60,104
60.5,112
61,111
61.5,104
62,67
62.5,73
63,116
63.5,121
64,68
64.5,62
65,116
65.5,83
66,91
66.5,75
67,109
67.5,118
68,86
68.5,59
69,70
69.5,120
70,87
70.5,61
71,108
71.5,112
72,75
72.5,58
73,101
73.5,81
74,64
74.5,115
75,105
75.5,69
76,97
76.5,121
77,102
77.5,53
78,92
78.5,65
79,66
79.5,68
80,89
80.5,67
81,58
81.5,104
82,68
82.5,70
83,81
83.5,107
84,59
84.5,71
85,57
85.5,54
86,119
86.5,63
87,113
87.5,117
88,96
88.5,62
89,118
89.5,53
90,84
90.5,57
91,64
91.5,108
92,56
92.5,104
93,115
93.5,81
94,95
94.5,79
95,53
95.5,89
96,95
96.5,99
97,101
97.5,92
98,93
98.5,123
99,93
99.5,102
100,57
100.5,66
101,122
101.5,85
102,59
102.5,87
103,106
103.5,93
104,102
104.5,110
105,59
105.5,97
106,110
106.5,71
107,68
107.5,90
108,91
108.5,91
109,80
109.5,83
110,81
110.5,118
111,66
111.5,115
112,123
112.5,118
113,94
113.5,56
114,92
114.5,58
115,110
115.5,59
116,63
116.5,53
117,83
117.5,87
118,64
118.5,122
119,116
119.5,122
120,69
120.5,118
121,88
121.5,73
122,96
122.5,58
123,79
123.5,90
124,68
124.5,60
125,73
125.5,118
126,60
126.5,89
127,94
127.5,112
128,99
128.5,97
129,98
129.5,87
130,101
130.5,57
131,123
131.5,110
132,95
132.5,72
133,91
133.5,112
134,53
134.5,117
135,117
135.5,96
136,65
136.5,96
137,113.8888889
137.5,137.7567568
138,156.6842105
138.5,176.7435897
139,167
139.5,234.5121951
140,196.3333333
140.5,235.5116279
141,279.0909091
141.5,255.1111111
142,280.6086957
142.5,254.6170213
143,279.1666667
143.5,314.2857143
144,294
144.5,318.3333333
145,360.3076923
145.5,338.9433962
146,349.2592593
146.5,328.2727273
147,335
147.5,370.4561404
148,344.6551724
148.5,366.6101695
149,364.3333333
149.5,423.8360656
150,410.1290323
150.5,425.2222222
151,382.125
151.5,407.8461538
152,448.3939394
152.5,433.7761194
153,410
153.5,462.0724638
154,418
154.5,464.7887324
155,434.4444444
155.5,452.9726027
156,472.3783784
156.5,464.6666667
157,503.8421053
157.5,462.9090909
158,472.8717949
158.5,467.7341772
159,473.5
159.5,518.1728395
160,469.7560976
160.5,466.253012
161,517.6666667
161.5,501
162,506.255814
162.5,503.4367816
163,534.5454545
163.5,532.5842697
164,526.5555556
164.5,558.4615385
165,529.3043478
165.5,557.0860215
166,518.8085106
166.5,556.4736842
167,513.0833333
167.5,554.6391753
168,534.1428571
168.5,548.5959596
169,544
169.5,540.3564356
170,573.6666667
170.5,533.9320388
171,537.1538462
171.5,591.3333333
172,556.4716981
172.5,549.5700935
173,553.6296296
173.5,564.6513761
174,537.6363636
174.5,572.5855856
175,602.5
175.5,554.380531
176,587.2280702
176.5,597.0434783
177,587.8275862
177.5,589.5811966
178,614.3050847
178.5,569
179,559.6666667
179.5,622.3057851
180,617.9180328
180.5,605.504065
181,578.0645161
181.5,606.6
182,623.1111111
182.5,620.5984252
183,572.0625
183.5,589.503876
184,576.9230769
184.5,594.3206107
185,602.6969697
185.5,618.0526316
186,614.3880597
186.5,607.7037037
187,615
187.5,598.2773723
188,597.5362319
188.5,631.7769784
189,597
189.5,637.2056738
190,608.3943662
190.5,624.5664336
191,657.7222222
191.5,598.862069
192,611.9863014
192.5,606.0952381
193,652.1891892
193.5,642.2684564
194,630.3333333
194.5,663.384106
195,651.4210526
195.5,598.4444444
196,604.4545455
196.5,607.4516129
197,632.4358974
197.5,629.4076433
198,626.3670886
198.5,636.3144654
199,640.25
199.5,638.173913
200,637.0864198
200.5,649.9877301
201,613.8780488
201.5,616.7575758
202,636.626506
202.5,673.4850299
203,649.3333333
203.5,670.1715976
204,623
204.5,665.8187135
205,617.627907
205.5,653.4277457
206,681.2183908
206.5,654
207,621.7727273
207.5,666.5367232
208,650.2921348
208.5,678.0391061
209,642.7777778
209.5,627.5082873
210,624.2307692
210.5,675.9453552
211,650.6521739
211.5,684.3513514
212,689.0430108
212.5,655.7272727
213,640.4042553
213.5,629.0740741
214,654.7368421
214.5,666.3926702
215,697.0416667
215.5,652.6839378
216,690.3195876
216.5,663.9487179
217,636.5714286
217.5,654.1878173
218,638.7979798
218.5,670.4020101
219,692
219.5,647.5920398
220,680.1782178
220.5,658.7586207
221,652.3333333
221.5,658.902439
222,695.4660194
222.5,683.0241546
223,642.5769231
223.5,664.1244019
224,705.6666667
224.5,704.2037915
225,685.7358491
225.5,663.2629108
226,700.7850467
226.5,693.3023256
227,707.8148148
227.5,701.3225806
228,694.8256881
228.5,698.3242009
229,714.8181818
229.5,648.3076923
230,663.7927928
230.5,704.2735426
231,709.75
231.5,651.2222222
232,677.6902655
232.5,701.154185
233,684.6140351
233.5,664.069869
234,697.5217391
234.5,684.969697
235,690.4137931
235.5,686.8540773
236,718.2905983
236.5,679.7234043
237,678.1525424
237.5,665.5780591
238,673
238.5,669.41841
239,704.8333333
239.5,667.2448133
240,682.6528926
240.5,669.0576132
241,666.4590164
241.5,669.8571429
242,679.2520325
242.5,690.6437247
243,691.0322581
243.5,722.4176707
244,703.8
244.5,713.1792829
245,727.5555556
245.5,717.9288538
246,719.2992126
246.5,662.6666667
247,693.03125
247.5,684.3929961
248,705.751938
248.5,707.1081081
249,717.4615385
249.5,714.8122605
250,671.1603053
250.5,670.5057034
251,713.8484848
251.5,707.1886792
252,671.5263158
252.5,700.8614232
253,702.1940299
253.5,674.5241636
254,687.8518519
254.5,696.1771218
255,675.5
255.5,695.8205128
256,728.1386861
256.5,673.4545455
257,687.7681159
257.5,672.0794224
258,685.3884892
258.5,711.6953405
259,709
259.5,683.3024911
260,725.6028369
260.5,680.9010601
261,702.1971831
261.5,722.4912281
262,688.7832168
262.5,671.0731707
263,703.3611111
263.5,740.6470588
264,725.9310345
264.5,710.2130584
265,695.4931507
265.5,714.7713311
266,729.047619
266.5,687.3220339
267,702.5945946
267.5,714.8653199
268,733.1342282
268.5,726.4013378
269,715.6666667
269.5,698.9302326
270,678.192053
270.5,684.4521452
271,726.7105263
271.5,735.9672131
272,729.2222222
272.5,743.47557
273,708.7272727
273.5,734.9773463
274,685.2258065
274.5,734.4726688
275,727.7179487
275.5,742.9616613
276,699.2038217
276.5,704.4444444
277,718.6835443
277.5,688.9211356
278,680.1572327
278.5,713.3918495
279,702.625
279.5,729.8566978
280,724.0869565
280.5,699.3157895
281,702.5432099
281.5,743.7692308
282,696.993865
282.5,743.2171254
283,720.4390244
283.5,687.6595745
284,748.8787879
284.5,692.0966767
285,700.313253
285.5,721.5285285
286,719.742515
286.5,687.9552239
287,735.1666667
287.5,704.3768546
288,693.5857988
288.5,719.7935103
289,736
289.5,685.2052786
290,744.4093567
290.5,743.6122449
291,714.8139535
291.5,719.0144928
292,691.2138728
292.5,685.4121037
293,753.6091954
293.5,740.8051576
294,716
294.5,717.1937322
295,715.3863636
295.5,732.5779037
296,692.7683616
296.5,706.9577465
297,734.1460674
297.5,701.3333333
298,705.5195531
298.5,730.7047354
299,724.8888889
299.5,704.0720222
300,696.2541436
300.5,708.4352617
301,708.6153846
301.5,716.7945205
302,744.9726776
302.5,693.1498638
303,726.326087
303.5,743.501355
304,745.6756757
304.5,688.8490566
305,746.0215054
305.5,721.1930295
306,703.3636364
306.5,723.5333333
307,755.7021277
307.5,735.8700265
308,757.037037
308.5,718.2031662
309,693.3684211
309.5,756.5328084
310,701.6963351
310.5,721.8590078
311,744.0208333
311.5,716.1818182
312,744.3419689
312.5,720.501292
313,724.6597938
313.5,757.8174807
314,706.974359
314.5,726.1304348
315,740.2857143
315.5,761.4402036
316,755.5939086
316.5,752.7468354
317,751.8989899
317.5,751.0503778
318,744.201005
318.5,739.3508772
319,757.5
319.5,712.6483791
320,755.7960199
320.5,718.942928
321,763.0891089
321.5,739.2345679
322,731.3793103
322.5,762.5233415
323,752.6666667
323.5,709.809291
324,714.9512195
324.5,697.0924574
325,704.2330097
325.5,759.3728814
326,724.5120773
326.5,702.6506024
327,748.7884615
327.5,710.9256595
328,727.062201
328.5,703.1980907
329,759.3333333
329.5,716.4679335
330,741.6018957
330.5,744.7352246
331,732.8679245
