tab	measurements
measurement	experiment	specimen	dir_dec	dir_inc	treat_ac_field	treat_step_num	treat_temp	magn_volume	citations	method_codes	quality	sequence	standard	meas_temp	analysts	description	software_packages	magn_moment
SML0301:LP-DIR-T0	SML0301:LP-DIR-T	SML0301	93.87745042179817	37.8509931929674	0	0	2.930e+02	22.84838725162019	This study	LT-NO:LP-DIR-T	g	0	u	2.730e+02	Anita		pmagpy-3.22.1	0.00027418064701944226
SML0301:LP-DIR-T1	SML0301:LP-DIR-T	SML0301	96.87529856899134	36.75385253483864	0	1	4.730e+02	20.956636180456062	This study	LT-T-Z:LP-DIR-T	g	1	u	2.730e+02	Anita		pmagpy-3.22.1	0.0002514796341654728
SML0301:LP-DIR-T2	SML0301:LP-DIR-T	SML0301	94.28254579896164	36.57998174973832	0	2	5.730e+02	18.84404149857456	This study	LT-T-Z:LP-DIR-T	g	2	u	2.730e+02	Anita		pmagpy-3.22.1	0.0002261284979828947
SML0301:LP-DIR-T3	SML0301:LP-DIR-T	SML0301	95.59212919637744	36.74537622538485	0	3	6.430e+02	17.417178301894943	This study	LT-T-Z:LP-DIR-T	g	3	u	2.730e+02	Anita		pmagpy-3.22.1	0.0002090061396227393
SML0301:LP-DIR-T4	SML0301:LP-DIR-T	SML0301	94.2023532123846	35.05019328907899	0	4	7.130e+02	13.668961189497905	This study	LT-T-Z:LP-DIR-T	g	4	u	2.730e+02	Anita		pmagpy-3.22.1	0.00016402753427397485
SML0301:LP-DIR-T5	SML0301:LP-DIR-T	SML0301	93.60699568825656	35.615660607816636	0	5	7.830e+02	8.603144773860311	This study	LT-T-Z:LP-DIR-T	g	5	u	2.730e+02	Anita		pmagpy-3.22.1	0.00010323773728632374
SML0301:LP-DIR-T6	SML0301:LP-DIR-T	SML0301	83.97600691768038	41.9722637077435	0	6	8.530e+02	0.2691505155113027	This study	LT-T-Z:LP-DIR-T	g	6	u	2.730e+02	Anita		pmagpy-3.22.1	3.2298061861356326e-06
SML0303:LP-DIR-T0	SML0303:LP-DIR-T	SML0303	193.5618068021047	-7.624757781937409	0	0	2.930e+02	11.229630448060167	This study	LT-NO:LP-DIR-T	g	7	u	2.730e+02	Anita		pmagpy-3.22.1	0.000134755565376722
SML0303:LP-DIR-T1	SML0303:LP-DIR-T	SML0303	193.7339285563788	-8.39375333977583	0	1	4.730e+02	10.686748804009572	This study	LT-T-Z:LP-DIR-T	g	8	u	2.730e+02	Anita		pmagpy-3.22.1	0.00012824098564811486
SML0303:LP-DIR-T2	SML0303:LP-DIR-T	SML0303	193.96778976153274	-8.019335801593087	0	2	5.730e+02	10.250360969253716	This study	LT-T-Z:LP-DIR-T	g	9	u	2.730e+02	Anita		pmagpy-3.22.1	0.0001230043316310446
